                                          
Дата        Время     M1  Y1    T1    T2    T3    T4      T5    Mode  Q_Summ        
                           %    °C    °C    °C    °C      °C          Дж            
                                          
2026:08:04  20:28:07  0   0     22    22    70    21.99   -5    0     0             
2026:08:04  20:28:10  0   97    21    21    70    21.98   -5    3     0             
2026:08:04  20:28:13  0   97    21    21    70    21.98   -5    3     0             
2026:08:04  20:28:16  0   97    21    21    70    21.97   -5    3     0             
2026:08:04  20:28:19  0   97    21    21    70    21.96   -5    3     0             
2026:08:04  20:28:22  0   97    21    21    70    21.95   -5    3     0             
2026:08:04  20:28:25  0   97    21    21    70    21.95   -5    3     0             
2026:08:04  20:28:28  0   97    21    21    70    21.94   -5    3     0             
2026:08:04  20:28:31  0   97    21    21    70    21.93   -5    3     0             
