                                          
Дата        Время     П1  Y1    Y3    T1    T2    T3      CO2   T5    Mode  Филь  V_In_Summ   Q_Summ        
                           %     %    °C    °C    °C      ppm   °C          тр    м3          Дж            
                                                                                                        
2026:08:04  06:27:18  0   0     0     22    22    21.98   400   -5    0     0     0           0             
2026:08:04  06:27:21  0   0     0     21    21    21.96   401   -5    3     0     0           0             
2026:08:04  06:27:24  0   0     0     21    21    21.94   402   -5    3     0     0           0             
2026:08:04  06:27:27  0   0     0     21    21    21.92   402   -5    3     0     0           0             
2026:08:04  06:27:30  0   0     0     21    21    21.89   403   -5    3     0     0           0             
2026:08:04  06:27:33  0   0     0     21    21    21.87   404   -5    3     0     0           0             
2026:08:04  06:27:36  0   0     0     21    21    21.85   405   -5    3     0     0           0             
2026:08:04  06:27:39  0   0     0     21    21    21.83   405   -5    3     0     0           0             
2026:08:04  06:27:42  1   18    0     20    21    21.81   406   -5    3     0     0.27        -1809.0       
2026:08:04  06:27:45  1   18    0     19    21    21.79   407   -5    3     0     0.54        -5427.0       
2026:08:04  06:27:48  1   18    0     18    21    21.77   408   -5    3     0     0.81        -10854.0      
2026:08:04  06:27:51  1   18    0     17    21    21.75   408   -5    3     0     1.08        -18090.0      
2026:08:04  06:27:54  1   18    0     16    21    21.73   409   -5    3     0     1.35        -27135.0      
2026:08:04  06:27:57  1   18    0     16    21    21.7    410   -5    3     0     1.62        -36180.0      
2026:08:04  06:28:00  1   18    0     16    21    21.68   411   -5    3     0     1.89        -45225.0      
2026:08:04  06:28:03  1   18    0     16    21    21.66   411   -5    3     0     2.16        -54270.0      
2026:08:04  06:28:06  1   18    0     16    21    21.64   412   -5    3     0     2.43        -63315.0      
2026:08:04  06:28:09  1   18    0     16    21    21.62   413   -5    3     0     2.7         -72360.0      
2026:08:04  06:28:12  1   18    2     16    21    21.6    414   -5    3     0     2.97        -81405.0      
2026:08:04  06:28:15  1   18    2     16    21    21.58   414   -5    3     0     3.24        -90450.0      
2026:08:04  06:28:18  1   18    4     16    21    21.56   415   -5    3     0     3.51        -99495.0      
2026:08:04  06:28:21  1   18    4     16    21    21.54   416   -5    3     0     3.78        -108540.0     
2026:08:04  06:28:24  1   18    6     16    21    21.52   417   -5    3     0     4.05        -117585.0     
2026:08:04  06:28:27  1   18    9     16    21    21.5    417   -5    3     0     4.32        -126630.0     
2026:08:04  06:28:30  1   18    9     16    21    21.48   418   -5    3     0     4.59        -135675.0     
2026:08:04  06:28:33  1   18    11    16    21    21.46   419   -5    3     0     4.86        -144720.0     
2026:08:04  06:28:36  1   18    11    16    21    21.44   420   -5    3     0     5.13        -153765.0     
                                          
Дата        Время     П1  Y1    Y3    T1    T2    T3      CO2   T5    Mode  Филь  V_In_Summ   Q_Summ        
                           %     %    °C    °C    °C      ppm   °C          тр    м3          Дж            
                                                                                                        
2026:08:04  16:26:05  0   0     0     22    22    21.98   400   -5    0     0     0           0             
2026:08:04  16:26:08  0   0     0     21    21    21.96   401   -5    3     0     0           0             
2026:08:04  16:26:11  0   0     0     21    21    21.94   402   -5    3     0     0           0             
2026:08:04  16:26:14  0   0     0     21    21    21.92   402   -5    3     0     0           0             
2026:08:04  16:26:17  0   0     0     21    21    21.89   403   -5    3     0     0           0             
2026:08:04  16:26:20  0   0     0     21    21    21.87   404   -5    3     0     0           0             
2026:08:04  16:26:23  0   0     0     21    21    21.85   405   -5    3     0     0           0             
2026:08:04  16:26:26  0   0     0     21    21    21.83   405   -5    3     0     0           0             
2026:08:04  16:26:29  0   0     0     21    21    21.81   406   -5    3     0     0           0             
2026:08:04  16:26:32  0   0     0     21    21    21.79   407   -5    3     0     0           0             
2026:08:04  16:26:35  0   0     0     21    21    21.77   408   -5    3     0     0           0             
2026:08:04  16:26:38  0   0     0     21    21    21.75   408   -5    3     0     0           0             
2026:08:04  16:26:41  0   0     0     21    21    21.73   409   -5    3     0     0           0             
2026:08:04  16:26:44  0   0     0     21    21    21.7    410   -5    3     0     0           0             
2026:08:04  16:26:48  0   0     0     21    21    21.68   411   -5    3     0     0           0             
2026:08:04  16:26:51  0   0     0     21    21    21.66   411   -5    3     0     0           0             
2026:08:04  16:26:54  0   0     0     21    21    21.64   412   -5    3     0     0           0             
2026:08:04  16:26:57  0   0     0     21    21    21.62   413   -5    3     0     0           0             
2026:08:04  16:27:00  0   0     0     21    21    21.6    414   -5    3     0     0           0             
2026:08:04  16:27:03  0   0     0     21    21    21.58   414   -5    3     0     0           0             
